Country,Launch Event,Launcher Production,Electronics Production,Launcher Transportation,Electricity Consumption,Propulsion System
Canada,66.73476336,1.361933946,0,27.9196459,0.680966973,17.02417433
China,84.53215109,126.3191299,11.08418696,20.95033139,56.200482,3.093828008
France,294.7459054,4.448703991,0.390575193,123.3079162,1.979147838,0.2224352
Germany,174.3275451,260.1293837,23.15287709,42.90091931,115.7643854,2.042900919
Russia,180.0140615,233.209079,20.42900919,3.714365308,103.8695727,5.571547962
Rwanda,294.7463384,4.449501829,0.390625926,123.3081897,1.979776981,0.222868746
South Korea,43.51378958,65.06639428,5.720122574,10.82737487,28.90704801,6.230847804
United Kingdom,80.12141433,12.51722861,1.087242574,30.02462186,5.575602946,3.233849709
United States,314.1919919,5.400687508,0.588639556,83.78624671,2.05863014,6.745230319
