Reusable,Launch Event,Launcher Production,Electronics Production,Launcher Transportation,Electricity Consumption,Propulsion System
Non-Reusable,289.03045,12.13641,1.06546,119.92682,5.40004,0.66469
Reusable,229.02928,2.43045,0.34397,39.31054,0.67659,6.02132
