Reusable,Launch Event,Launcher Production,Electronics Production,Launcher Transportation,Electricity Consumption,Propulsion System
Non-Reusable,5053.407143,212.1928571,18.62857143,2096.8,94.41428571,11.62142857
Reusable,605.92,6.43,0.91,104,1.79,15.93
